customer_ID,shopping_pt,record_type,day,time,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost
10000001,1,0,1,12:35,OK,10002,1,0,9,f,NA,24,24,0,3,9,0,0,1,1,0,0,4,543
10000001,2,0,1,12:36,OK,10002,1,0,9,f,NA,24,24,0,3,9,2,1,1,3,1,3,2,611
10000002,1,0,4,12:19,PA,10003,1,1,7,f,NA,74,74,0,2,15,2,0,2,3,1,2,2,691
10000002,2,0,4,12:21,PA,10003,1,1,7,f,NA,74,74,0,2,15,2,0,2,3,1,2,2,695
10000003,1,0,3,17:12,AR,10004,1,0,4,d,4,26,26,0,3,1,1,0,1,1,0,2,2,628
10000003,2,0,3,17:12,AR,10004,1,0,4,d,4,26,26,0,3,1,1,0,2,1,0,2,2,625
10000003,3,0,3,17:13,AR,10004,1,0,4,d,4,26,26,0,3,1,1,0,2,1,0,2,2,628
10000004,1,0,1,12:39,OK,10005,1,0,13,f,3,22,22,0,NA,NA,0,0,1,1,0,0,2,596
10000004,2,0,1,12:42,OK,10005,1,0,13,f,3,22,22,0,NA,NA,2,0,1,1,0,3,2,711
10000004,3,0,1,12:43,OK,10005,1,0,13,f,3,22,22,0,NA,NA,2,0,1,1,0,3,2,722
10000004,4,0,1,12:44,OK,10005,1,0,13,f,3,22,22,0,NA,NA,2,0,1,1,0,3,2,722
10000004,5,0,1,12:53,OK,10005,1,0,13,f,3,22,22,0,1,3,2,0,1,1,0,3,2,673
10000004,6,0,1,12:54,OK,10005,1,0,13,f,3,22,22,0,1,3,2,0,1,1,0,2,2,683
10000004,7,0,1,12:56,OK,10005,1,0,13,f,3,22,22,0,1,3,2,0,1,1,0,2,4,700
10000004,8,0,1,12:57,OK,10005,1,0,13,f,3,22,22,0,1,3,2,0,1,1,0,2,3,689
10000004,9,0,1,12:59,OK,10005,1,0,13,f,3,22,22,0,1,3,2,0,1,1,1,2,3,692
10000006,1,0,2,18:12,WA,10007,1,0,11,e,NA,27,27,0,3,12,0,0,1,1,0,0,1,625
10000006,2,0,2,18:12,WA,10007,1,0,11,e,NA,27,27,0,3,12,0,0,1,1,0,0,1,625
10000008,1,0,0,09:16,FL,10009,1,1,11,e,1,75,75,0,1,9,1,0,2,3,0,2,3,578
10000008,2,0,0,09:16,FL,10009,1,1,11,e,1,75,75,0,1,9,1,0,2,3,0,2,2,547
10000008,3,0,0,09:17,FL,10009,1,1,11,e,1,75,75,0,1,9,0,0,1,3,0,0,3,561
10000008,4,0,0,09:18,FL,10009,1,1,11,e,1,75,75,0,1,9,0,0,1,3,0,0,3,561
10000008,5,0,0,09:21,FL,10009,1,1,11,e,1,75,75,0,1,9,1,0,1,3,0,2,3,579
10000008,6,0,0,09:22,FL,10009,1,1,11,e,1,75,75,0,1,9,0,0,1,3,0,2,3,567
10000009,1,0,2,14:00,KY,10010,1,0,7,f,NA,25,25,0,1,1,0,1,1,2,0,0,2,627
10000009,2,0,2,14:00,KY,10010,1,0,7,f,NA,25,25,0,1,1,0,1,1,2,0,0,2,627
10000009,3,0,2,14:01,KY,10010,1,0,7,f,NA,25,25,0,1,1,0,1,1,2,0,0,2,627
10000009,4,0,2,14:20,KY,10010,1,0,7,f,NA,25,25,0,1,1,0,1,1,2,0,0,2,627
10000010,1,0,1,08:50,PA,10011,2,1,12,d,NA,75,75,1,1,10,1,1,3,3,1,1,1,670
10000010,2,0,1,08:52,PA,10011,2,1,12,d,NA,75,75,1,1,10,1,0,1,2,0,1,2,644
10000011,1,0,6,23:10,MO,10012,1,1,11,h,3,56,56,0,3,2,1,0,3,3,0,2,1,580
10000011,2,0,6,23:10,MO,10012,1,1,11,h,3,56,56,0,3,2,1,0,3,3,0,2,2,581
10000012,1,0,1,10:33,FL,10013,1,0,7,d,4,22,22,0,3,7,2,0,1,1,0,3,3,713
10000012,2,0,1,10:36,FL,10013,1,0,7,d,4,22,22,0,3,7,1,0,3,3,1,2,3,738
10000012,3,0,1,10:37,FL,10013,1,0,7,d,4,22,22,0,3,7,1,0,3,3,1,2,3,746
10000012,4,0,1,10:41,FL,10013,1,0,7,d,4,22,22,0,3,7,2,0,2,3,0,3,3,730
10000015,1,0,4,07:53,NY,10016,2,0,1,f,2,32,30,0,3,2,1,1,3,3,1,0,3,735
10000015,2,0,4,07:54,NY,10016,2,0,1,f,2,32,30,0,3,2,1,1,3,3,1,0,2,733
10000017,1,0,2,13:28,WA,10019,1,1,8,h,NA,46,46,0,2,1,1,1,3,3,1,1,1,668
10000017,2,0,2,13:41,WA,10019,1,1,8,g,NA,46,46,0,2,1,1,1,3,3,1,1,1,667
10000018,1,0,2,12:06,KY,10020,1,0,3,f,3,58,58,0,3,11,1,0,1,1,0,2,2,575
10000018,2,0,2,12:08,KY,10020,1,0,3,f,3,58,58,0,3,11,1,0,3,3,1,1,1,600
10000018,3,0,2,12:09,KY,10020,1,0,3,f,3,58,58,0,3,11,1,1,3,3,1,1,1,605
